sample_id,temperature,variation_id,label,source_text,variation_text,delta_score_2gram,delta_entropy_2gram,delta_variance_2gram,delta_score_3gram,delta_entropy_3gram,delta_variance_3gram,delta_score_4gram,delta_entropy_4gram,delta_variance_4gram,delta_score_5gram,delta_entropy_5gram,delta_variance_5gram
0,1.1,1,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Does losing consciousness predict neuropsychological declines following a concussion? The findings from this study question the significance of LOC in forecasting long-term neuropsychological impairments. While LOC is frequently considered an indicator of concussion severity, our results imply that other factors might have a greater impact on cognitive recovery.",1.8948778188548325e-07,0.1319802315020513,0.0181755829903978,0.014507411718254981,0.16034265007518078,0.0,0.014486412327622933,0.16362942378180145,0.0,1.8948778188548325e-07,0.16705408466316607,0.0
0,1.1,2,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Is loss of consciousness a reliable predictor of neuropsychological deficits after a concussion? The study's outcomes suggest skepticism regarding the relevance of LOC as a long-term neuropsychological deficit predictor. Although LOC is commonly viewed as a concussion severity marker, our data indicate that additional elements may influence cognitive recovery more significantly.",1.1842986367842703e-07,0.09783071500636176,0.0018160871470449327,0.009067132323909363,0.0971637484536485,0.0,0.009054007704764333,0.09909090264422993,0.0,1.1842986367842703e-07,0.10109611687136999,0.0
0,1.1,3,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Can loss of consciousness forecast neuropsychological impairments post-concussion? This study's findings undermine the weight of LOC as a predictor of prolonged neuropsychological issues. Despite LOC being widely used to assess concussion severity, our research proposes that other variables could be more crucial in determining cognitive recovery.",2.3685972735685406e-07,0.17546534344178966,0.0181755829903978,0.018134264647818726,0.2047944126460135,0.0,0.018108015409528666,0.2090917978585587,0.0,2.3685972735685406e-07,0.21357410029806,0.0
0,1.1,4,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Does the experience of losing consciousness predict cognitive decline following a concussion? The results cast doubt on LOC’s role as a long-term predictor of neuropsychological deficits. Even though LOC often marks concussion severity, our findings suggest other factors have a stronger influence on how cognition recovers.",2.3685972735685406e-07,0.17546534344178966,0.0181755829903978,0.018134264647818726,0.2047944126460135,0.0,0.018108015409528666,0.2090917978585587,0.0,2.3685972735685406e-07,0.21357410029806,0.0
0,1.1,5,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Is the loss of consciousness indicative of neuropsychological decrements after a concussion? Our study’s results challenge the importance of LOC as a predictor for lasting neuropsychological deficits. Though LOC is often employed to gauge concussion seriousness, it appears that other factors could play a more vital role in cognitive rehabilitation.",1.4211583641411244e-07,0.09030753510148237,0.0181755829903978,0.010880558788691236,0.11778303565638426,0.0,0.0108648092457172,0.12014431184206309,0.0,1.4211583641411244e-07,0.12260232209233335,0.0
0,1.1,6,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Does loss of consciousness serve as a predictor for neuropsychological shortcomings after a concussion? The evidence from this study questions the predictive value of LOC for enduring neuropsychological impairments. LOC is regularly considered a marker of concussion severity, yet our findings highlight that additional influences might drive cognitive recovery more.",1.4211583641411244e-07,0.09030753510148237,0.0181755829903978,0.010880558788691236,0.11778303565638426,0.0,0.0108648092457172,0.12014431184206309,0.0,1.4211583641411244e-07,0.12260232209233335,0.0
0,1.1,7,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Is losing consciousness a predictor of neuropsychological decline post-concussion? Study results raise doubts about LOC’s importance in forecasting long-term cognitive impairments. While LOC represents concussion severity, our research indicates that other determinants may be more critical for cognitive restitution.",4.026615365066517e-07,0.34454167348572273,0.0181755829903978,0.030828249901291835,0.37806613392004973,0.0,0.030783626196198732,0.3867729750960107,0.0,4.026615365066519e-07,0.39589565709201446,0.0
0,1.1,8,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Can the loss of consciousness predict neuropsychological setbacks after a concussion? The outcome of this research casts uncertainty on LOC as a predictor of prolonged cognitive deficits. Although LOC is often used to identify the severity of concussion, our findings imply that other factors could more significantly affect cognitive healing.",1.4211583641411244e-07,0.09030753510148237,0.0181755829903978,0.010880558788691236,0.11778303565638426,0.0,0.0108648092457172,0.12014431184206309,0.0,1.4211583641411244e-07,0.12260232209233335,0.0
0,1.1,9,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Does the occurrence of loss of consciousness predict long-term neuropsychological decline in concussion patients? Our study’s findings call into question the value of LOC as a reliable predictor of neuropsychological issues. Despite LOC's common use as a measure of concussion severity, other influences seem more pivotal in cognitive recovery.",1.6580180914979784e-07,0.13980795482754882,0.002648319227800483,0.012693985253473108,0.13883644485421742,0.0,0.012675610786670066,0.14165051706302645,0.0,1.6580180914979784e-07,0.14458122881110835,0.0
0,1.1,10,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Is loss of consciousness a key predictor of neuropsychological deficits following concussion? The results suggest that LOC may not be as important as previously thought in predicting lasting cognitive impairments. Although often a marker for concussion severity, other factors likely play a more dominant role in the recovery of cognitive function.",1.1842986367842703e-07,0.07010482778396376,0.0181755829903978,0.009067132323909363,0.0971637484536485,0.0,0.009054007704764333,0.09909090264422993,0.0,1.1842986367842703e-07,0.10109611687136999,0.0
