sample_id,temperature,variation_id,label,source_text,variation_text,delta_score_2gram,delta_entropy_2gram,delta_variance_2gram,delta_score_3gram,delta_entropy_3gram,delta_variance_3gram,delta_score_4gram,delta_entropy_4gram,delta_variance_4gram,delta_score_5gram,delta_entropy_5gram,delta_variance_5gram
0,0.5,1,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: Loss of consciousness can be an indicator of neuropsychological decrements following a concussion. However, it's not the sole determinant. Factors like concussion severity, individual's health status, and the duration since the injury also significantly influence cognitive impact. Therefore, comprehensive neuropsychological assessment is vital post-concussion.","Does loss of consciousness serve as a predictor for neuropsychological decline after a concussion? Loss of consciousness may indicate neuropsychological impairments post-concussion, but it is not the only factor. Other elements such as the severity of the concussion, the individual's health condition, and the time elapsed since the injury also play crucial roles. Hence, a thorough neuropsychological evaluation is essential following a concussion.",1.8948778188548325e-07,0.17044751893701537,0.02314109957708576,0.014507411718254981,0.14401231093327116,0.0024720578566732355,0.014486412327622933,0.14310084364067155,0.0,1.8948778188548325e-07,0.14571181118139354,0.0
0,0.5,2,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: Loss of consciousness can be an indicator of neuropsychological decrements following a concussion. However, it's not the sole determinant. Factors like concussion severity, individual's health status, and the duration since the injury also significantly influence cognitive impact. Therefore, comprehensive neuropsychological assessment is vital post-concussion.","Can loss of consciousness forecast neuropsychological deficits after a concussion? While loss of consciousness can signal neuropsychological issues after a concussion, it is not the sole predictor. The severity of the concussion, the person's overall health, and the time since injury also significantly affect cognitive outcomes. Thus, a detailed neuropsychological assessment is necessary after a concussion.",2.3685972735685406e-08,0.014969518631601453,0.05613225682429833,0.0018134264647818726,0.019176512593258366,0.0003490207932659514,0.0018108015409528666,0.0190481949706931,0.0,2.3685972735685406e-08,0.019418085857102696,0.0
0,0.5,3,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: Loss of consciousness can be an indicator of neuropsychological decrements following a concussion. However, it's not the sole determinant. Factors like concussion severity, individual's health status, and the duration since the injury also significantly influence cognitive impact. Therefore, comprehensive neuropsychological assessment is vital post-concussion.","Is loss of consciousness a reliable predictor of neuropsychological impairments following a concussion? Loss of consciousness might indicate neuropsychological decline after a concussion, but it alone does not determine the outcome. Factors including the concussion's severity, the individual's health status, and how long ago the injury occurred also influence cognitive effects. Therefore, comprehensive neuropsychological testing is important post-concussion.",7.105791820705622e-08,0.08244166725810942,0.020321999485258355,0.005440279394345618,0.056461018114079664,0.001009707076140641,0.0054324046228586,0.056089466651043196,0.0,7.105791820705622e-08,0.05715841383995013,0.0
0,0.5,4,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: Loss of consciousness can be an indicator of neuropsychological decrements following a concussion. However, it's not the sole determinant. Factors like concussion severity, individual's health status, and the duration since the injury also significantly influence cognitive impact. Therefore, comprehensive neuropsychological assessment is vital post-concussion.","Does experiencing loss of consciousness predict neuropsychological deficits after a concussion? Loss of consciousness can be an indicator of neuropsychological decline after a concussion; however, it is not the only factor involved. The severity of the concussion, the individual's health, and the time since injury also play significant roles. Consequently, thorough neuropsychological assessments are crucial following a concussion.",7.105791820705622e-08,0.05812071355425186,0.002894185996838848,0.005440279394345618,0.056461018114079664,0.001009707076140641,0.0054324046228586,0.056089466651043196,0.0,7.105791820705622e-08,0.05715841383995013,0.0
0,0.5,5,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: Loss of consciousness can be an indicator of neuropsychological decrements following a concussion. However, it's not the sole determinant. Factors like concussion severity, individual's health status, and the duration since the injury also significantly influence cognitive impact. Therefore, comprehensive neuropsychological assessment is vital post-concussion.","Is loss of consciousness an indicator of neuropsychological decline after a concussion? Loss of consciousness may suggest neuropsychological impairments after a concussion, but it is not the exclusive predictor. Other factors such as concussion severity, the individual's health condition, and the duration since the injury also greatly impact cognitive outcomes. Therefore, a comprehensive neuropsychological evaluation is essential after a concussion.",1.1842986367842703e-07,0.06271507974980706,0.04843833109325407,0.009067132323909363,0.09240596745805885,0.0016248741078274467,0.009054007704764333,0.09180754925312229,0.0,1.1842986367842703e-07,0.09352605801082436,0.0
0,0.5,6,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: Loss of consciousness can be an indicator of neuropsychological decrements following a concussion. However, it's not the sole determinant. Factors like concussion severity, individual's health status, and the duration since the injury also significantly influence cognitive impact. Therefore, comprehensive neuropsychological assessment is vital post-concussion.","Can loss of consciousness predict cognitive impairments following a concussion? Loss of consciousness can indicate neuropsychological deficits post-concussion, but it is not the only determinant. The severity of the concussion, the person's health status, and the time elapsed since injury also significantly influence cognitive effects. Hence, a detailed neuropsychological assessment is vital after a concussion.",0.0,0.025672117798516858,0.018381073278597906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.5,7,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: Loss of consciousness can be an indicator of neuropsychological decrements following a concussion. However, it's not the sole determinant. Factors like concussion severity, individual's health status, and the duration since the injury also significantly influence cognitive impact. Therefore, comprehensive neuropsychological assessment is vital post-concussion.","Does losing consciousness predict neuropsychological problems after a concussion? Loss of consciousness can be a sign of neuropsychological decline following a concussion, but it is not the sole predictor. The severity of the concussion, the individual's health, and the time since the injury also play important roles. Therefore, comprehensive neuropsychological testing is necessary post-concussion.",2.3685972735685406e-08,0.05832422038339624,0.05536332179930796,0.0018134264647818726,0.007108302408927791,0.018860946745562133,0.0018108015409528666,0.019418085857102696,0.0,2.3685972735685406e-08,0.019802627296179764,0.0
0,0.5,8,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: Loss of consciousness can be an indicator of neuropsychological decrements following a concussion. However, it's not the sole determinant. Factors like concussion severity, individual's health status, and the duration since the injury also significantly influence cognitive impact. Therefore, comprehensive neuropsychological assessment is vital post-concussion.","Is the loss of consciousness a predictor of neuropsychological deficits after a concussion? Loss of consciousness might indicate neuropsychological impairments following a concussion, but it is not the only factor. Factors like concussion severity, individual health status, and time since injury also significantly affect cognitive outcomes. Thus, thorough neuropsychological assessment is essential after a concussion.",0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.5,9,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: Loss of consciousness can be an indicator of neuropsychological decrements following a concussion. However, it's not the sole determinant. Factors like concussion severity, individual's health status, and the duration since the injury also significantly influence cognitive impact. Therefore, comprehensive neuropsychological assessment is vital post-concussion.","Does the occurrence of loss of consciousness forecast neuropsychological decline after a concussion? Loss of consciousness can signal neuropsychological issues post-concussion, but it is not the sole predictor. The severity of the concussion, the individual's health condition, and the duration since injury also influence cognitive effects. Therefore, comprehensive neuropsychological evaluation is important following a concussion.",0.0,0.025672117798516858,0.018381073278597906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.5,10,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: Loss of consciousness can be an indicator of neuropsychological decrements following a concussion. However, it's not the sole determinant. Factors like concussion severity, individual's health status, and the duration since the injury also significantly influence cognitive impact. Therefore, comprehensive neuropsychological assessment is vital post-concussion.","Is loss of consciousness a sole predictor of neuropsychological impairments after a concussion? While loss of consciousness can indicate neuropsychological decline after a concussion, it is not the only factor involved. The severity of the concussion, the individual's health, and the time since injury also play significant roles. Hence, a detailed neuropsychological assessment is necessary post-concussion.",2.3685972735685406e-08,0.019749436002661103,0.000999416473864173,0.0018134264647818726,0.019176512593258366,0.0003490207932659514,0.0018108015409528666,0.0190481949706931,0.0,2.3685972735685406e-08,0.019418085857102696,0.0
